,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,shache,0,CN,1577324294,71,38.42,77.24,19.47,3.71
1,yorosso,0,ML,1577324294,11,12.35,-4.78,63.79,7.31
2,hobart,20,AU,1577324023,46,-42.88,147.33,79.0,12.75
3,adrar,63,DZ,1577324288,50,27.87,-0.29,53.6,13.87
4,jamestown,59,AU,1577324076,15,-33.21,138.6,96.48,6.69
5,kaitangata,100,NZ,1577324295,82,-46.28,169.85,57.99,10.0
6,cabra,99,ES,1577324295,93,37.47,-4.43,55.0,1.12
7,lorengau,100,PG,1577324295,75,-2.02,147.27,84.2,16.55
8,yaring,20,TH,1577324295,88,6.87,101.37,75.2,5.82
9,bredasdorp,47,ZA,1577324090,55,-34.53,20.04,63.0,6.93
10,zhangjiakou,6,CN,1577324295,78,40.77,114.88,7.3,4.72
11,butaritari,42,KI,1577324182,71,3.07,172.79,84.6,3.67
12,srirampur,75,BD,1577324295,93,23.92,90.13,57.2,5.06
13,pisco,82,PE,1577324203,82,-13.71,-76.2,68.0,12.75
14,labuhan,89,ID,1577324296,57,-2.54,115.51,88.45,4.56
15,new norfolk,20,LR,1577324020,94,6.65,-10.59,77.0,1.34
16,rikitea,100,PF,1577324160,90,-23.12,-134.97,70.61,5.53
17,norman wells,1,US,1577324296,51,35.22,-97.44,63.0,10.29
18,cape town,100,CL,1577324296,34,-36.41,-71.9,68.0,6.93
19,yellowknife,90,CA,1577324134,84,62.45,-114.38,3.2,2.24
20,busselton,0,AU,1577324079,46,-33.64,115.35,84.99,12.15
21,chuy,89,UY,1577324296,83,-33.69,-53.46,68.76,12.21
22,port alfred,100,CD,1577324296,73,-7.04,29.76,76.3,13.98
23,punta arenas,75,PH,1577324296,83,14.18,121.12,84.0,8.05
24,luderitz,68,NA,1577324081,67,-26.65,15.16,62.6,10.29
25,oschersleben,35,DE,1577324297,96,52.03,11.25,42.01,4.0
26,keflavik,100,IS,1577324297,80,64.0,-22.56,30.2,8.05
27,janakkala,100,FI,1577324297,88,60.93,24.67,33.01,5.99
28,pimenta bueno,2,BR,1577324297,90,-20.48,-45.8,66.65,1.57
29,aswan,0,EG,1577324297,40,24.09,32.9,51.8,21.92
30,flinders,0,AU,1577324297,45,-34.58,150.85,87.01,12.75
31,takanabe,75,JP,1577324298,93,32.13,131.49,59.0,4.7
32,ushuaia,40,AR,1577323968,61,-54.81,-68.31,53.6,11.41
33,nanortalik,77,GL,1577324254,63,60.14,-45.24,32.07,7.09
34,san quintin,0,ML,1577324298,11,13.3,-4.9,63.64,7.52
35,deputatskiy,100,RU,1577323899,100,69.3,139.9,-20.67,2.08
36,xinan,0,CN,1577324298,73,22.55,113.89,73.0,8.95
37,briancon,0,FR,1577324298,52,44.9,6.65,42.01,1.99
38,constitucion,5,MX,1577324299,13,23.99,-104.67,62.6,5.82
39,bethel,1,US,1577324000,75,60.79,-161.76,-9.4,9.17
40,puerto escondido,40,AR,1577324299,31,-51.62,-69.23,60.8,13.87
41,talnakh,97,RU,1577324299,74,69.49,88.39,-23.8,4.47
42,vao,100,EE,1577324170,95,59.1,26.19,33.69,4.05
43,yarmouth,90,CA,1577324299,68,43.84,-66.12,30.99,12.75
44,puerto madryn,40,AR,1577324299,31,-51.62,-69.23,60.8,13.87
45,langxiang,0,CN,1577324299,64,46.95,128.87,2.7,3.27
46,imbituba,75,BR,1577324249,88,-28.24,-48.67,77.0,12.75
47,backa palanka,75,FI,1577324300,88,60.18,24.24,34.0,8.05
48,arraial do cabo,0,BR,1577324300,69,-22.84,-46.65,73.4,11.41
49,santa maria,4,PH,1577324300,56,17.49,120.43,87.26,4.23
50,lompoc,90,US,1577324287,87,34.64,-120.46,53.01,10.29
51,albany,90,US,1577324167,63,42.65,-73.75,30.99,3.36
52,torbay,90,CA,1577324221,92,47.66,-52.73,30.0,28.86
53,bowen,90,AU,1577324300,55,-20.01,148.25,91.99,17.22
54,avarua,2,CK,1577324000,61,-21.21,-159.78,78.8,13.87
55,dongkan,100,CN,1577324301,77,34.0,119.83,40.69,15.03
56,kuching,75,MY,1577324301,83,1.56,110.34,82.4,2.66
57,tura,100,RU,1577324301,99,64.27,100.22,-18.38,2.64
58,mahebourg,75,MU,1577324080,78,-20.41,57.7,79.0,17.22
59,kapaa,75,US,1577324104,69,22.08,-159.32,82.4,13.87
60,puro,100,PH,1577324301,82,13.13,123.76,82.17,5.93
61,hasaki,75,JP,1577324301,57,35.73,140.83,48.2,10.29
62,nieves,0,MX,1577324301,40,24.0,-103.02,56.79,9.6
63,namibe,98,AO,1577324302,82,-15.19,12.15,72.9,3.53
64,harrisburg,1,US,1577324257,92,40.27,-76.89,35.01,1.07
65,hermanus,9,ZA,1577324165,56,-34.42,19.24,63.0,4.0
66,sirvintos,90,LT,1577324302,93,55.05,24.95,37.4,12.75
67,barrow,0,AR,1577324078,45,-38.31,-60.23,59.09,16.49
68,kodiak,1,US,1577324298,58,39.95,-94.76,59.0,10.29
69,altay,100,CN,1577324302,90,47.83,88.13,2.05,2.37
70,ponta do sol,73,BR,1577324302,93,-0.53,-65.05,73.56,2.28
71,port-cartier,5,CA,1577324302,60,50.03,-66.88,8.6,12.75
72,viedma,33,AR,1577324277,70,-40.81,-62.99,60.91,16.13
73,banda aceh,0,IN,1577324303,64,28.24,80.11,50.14,5.68
74,clyde river,100,NZ,1577324303,68,-45.19,169.32,61.0,4.0
75,khatanga,66,RU,1577324072,98,71.98,102.47,-26.45,7.94
76,acajutla,0,SV,1577324303,90,13.59,-89.83,71.01,1.01
77,sioux lookout,90,US,1577324303,93,46.74,-90.88,36.0,9.17
78,thompson,90,CA,1577323984,85,55.74,-97.86,10.4,3.36
79,ayan,38,IR,1577324304,84,38.23,44.7,23.72,3.27
80,tirumullaivasal,83,IN,1577324304,70,11.24,79.84,79.72,12.71
81,dukat,0,AL,1577324304,61,40.25,19.57,52.0,1.99
82,birobidzhan,100,RU,1577324304,77,48.79,132.93,-6.68,2.39
83,matamoros,1,US,1577324304,82,25.87,-97.51,69.01,5.82
84,anadyr,20,RU,1577324304,75,64.73,177.51,-20.0,2.24
85,hami,63,CN,1577324216,50,42.84,93.51,19.83,0.34
86,aranos,73,NA,1577324305,18,-24.14,19.11,73.17,7.54
87,mys shmidta,100,RU,1577324305,98,62.06,48.62,28.13,5.77
88,bluff,52,AU,1577324083,43,-23.58,149.07,89.13,15.3
89,cabo san lucas,96,ES,1577324305,67,43.18,-5.8,59.0,19.46
90,yulara,0,AU,1577324195,9,-25.24,130.99,102.2,23.04
91,visnes,7,NO,1577324305,93,59.36,5.22,39.2,6.93
92,port blair,100,CD,1577324305,73,-7.04,29.76,76.3,13.98
93,ulladulla,0,AU,1577324305,45,-35.36,150.48,87.01,12.75
94,mataura,100,NZ,1577324096,78,-46.19,168.86,57.99,14.0
95,egvekinot,82,RU,1577324306,91,66.32,-179.17,-16.6,6.93
96,ibra,0,OM,1577324306,49,22.69,58.55,59.32,4.05
97,hithadhoo,71,MV,1577324205,73,-0.6,73.08,82.31,0.47
98,longyearbyen,20,NO,1577324306,66,78.22,15.63,14.0,6.93
99,port hardy,100,CD,1577324296,73,-7.04,29.76,76.3,13.98
100,lagoa,100,PT,1577324306,82,37.14,-8.45,60.01,1.12
101,nipawin,90,CA,1577324194,100,53.36,-104.02,21.2,8.05
102,puerto ayora,40,AR,1577324307,31,-51.62,-69.23,60.8,13.87
103,sangar,30,RU,1577324307,90,63.92,127.47,-42.74,1.01
104,sao joao da barra,79,IN,1577324307,77,20.51,76.21,69.15,4.43
105,riyadh,0,SA,1577324177,54,24.63,46.72,53.6,4.7
106,nemuro,20,JP,1577324154,73,43.32,145.57,23.0,3.36
107,vestmannaeyjar,100,IS,1577324307,63,63.44,-20.27,40.86,19.69
108,homer,90,US,1577324307,68,59.64,-151.54,30.0,14.99
109,vaini,93,IN,1577324111,82,15.34,74.49,68.0,4.07
110,castro,100,CL,1577324193,76,-42.48,-73.76,53.6,6.93
111,dikson,42,RU,1577324063,99,73.51,80.55,-17.88,2.39
112,kiunga,0,PG,1577323918,46,-6.12,141.3,93.87,3.11
113,mount isa,100,GB,1577324308,86,53.66,-1.85,43.0,4.7
114,yenagoa,0,NG,1577324308,90,4.92,6.26,74.61,2.21
115,guabito,90,PA,1577324308,94,9.5,-82.61,75.2,2.24
116,fortuna,1,US,1577324308,81,40.6,-124.16,48.0,6.93
117,carnarvon,0,ZA,1577324141,55,-30.97,22.13,47.86,8.68
118,kalanchak,96,UA,1577324308,99,46.26,33.28,45.0,6.2
119,airai,88,TL,1577324294,47,-8.93,125.41,85.44,6.67
120,dingle,2,PH,1577324309,74,11.0,122.67,84.09,6.44
121,lucea,20,JM,1577324281,65,18.44,-78.17,80.6,8.05
122,ponta delgada,73,BR,1577324309,93,-0.53,-65.05,73.56,2.28
123,antofagasta,36,CL,1577323829,77,-23.65,-70.4,66.2,8.05
124,qaanaaq,95,GL,1577324309,94,77.48,-69.36,-1.43,4.74
125,wairoa,70,NZ,1577324309,70,-39.04,177.43,66.0,4.0
126,tuatapere,100,NZ,1577324270,78,-46.13,167.69,57.99,14.0
127,ilulissat,0,GL,1577324094,35,69.22,-51.1,8.6,1.12
128,cherskiy,96,RU,1577324309,97,68.75,161.3,-33.72,5.48
129,husavik,100,CA,1577324127,98,50.56,-96.99,23.0,2.68
130,terney,68,RU,1577324309,61,45.05,136.61,13.08,5.84
131,saskylakh,0,RU,1577324310,96,71.97,114.09,-37.01,9.04
132,provideniya,16,RU,1577324263,64,64.42,-173.23,-0.4,6.71
133,victoria,75,BN,1577324310,88,5.28,115.24,80.6,2.24
134,san cristobal,0,ML,1577324310,11,13.3,-4.9,63.64,7.52
135,thinadhoo,0,MV,1577324310,72,0.53,72.93,82.94,4.94
136,hobyo,15,SO,1577324310,78,5.35,48.53,74.79,12.95
137,richards bay,90,US,1577324310,96,46.84,-95.91,32.0,4.7
138,san carlos de bariloche,0,ML,1577324310,11,13.3,-4.9,63.64,7.52
139,hit,0,IQ,1577324114,49,33.64,42.83,52.74,1.45
140,east london,76,UG,1577324311,41,3.43,31.7,74.14,1.66
141,tasiilaq,62,GL,1577324133,67,65.61,-37.64,21.2,6.93
142,ondjiva,63,AO,1577324311,69,-17.07,15.73,71.87,5.68
143,ballina,100,IE,1577324311,83,54.11,-9.15,44.01,15.01
144,pedernales,89,EC,1577324311,85,0.07,-80.05,74.1,4.0
145,katsuura,75,JP,1577324115,93,33.93,134.5,51.8,5.82
146,ternate,75,PH,1577324232,83,14.29,120.72,84.0,8.05
147,salalah,0,OM,1577324269,49,17.01,54.1,73.4,13.87
148,chapais,1,CA,1577324311,91,49.78,-74.86,1.4,4.7
149,ostrovnoy,100,RU,1577324311,95,68.05,39.51,12.69,2.39
150,atuona,33,PF,1577324183,72,-9.8,-139.03,81.41,15.9
151,palmer,0,AU,1577324311,44,-34.85,139.16,91.99,10.29
152,grindavik,100,IS,1577324301,80,63.84,-22.43,30.2,8.05
153,hualmay,63,PE,1577324295,84,-11.1,-77.61,65.17,3.33
154,cidreira,0,BR,1577324278,89,-30.17,-50.22,74.46,18.32
155,kingman,20,US,1577324174,50,35.19,-114.05,55.4,10.29
156,chaumont,30,FR,1577324312,100,48.11,5.14,33.8,1.12
157,jiuquan,0,CN,1577324312,36,39.73,98.49,18.81,6.46
158,merritt,1,CA,1577324312,79,50.11,-120.79,28.4,11.41
159,nata,56,BW,1577324313,21,-20.21,26.19,83.82,10.8
160,arauco,86,CL,1577324313,67,-37.25,-73.32,59.0,16.11
161,bonavista,100,CA,1577324313,87,48.65,-53.11,28.0,21.0
162,jambi,59,ID,1577324038,69,-1.6,103.62,85.32,3.85
163,wilmington,1,US,1577324274,88,39.75,-75.55,37.0,2.15
164,severo-kurilsk,100,RU,1577324289,89,50.68,156.12,22.82,16.49
165,san patricio,0,ML,1577324298,11,13.3,-4.9,63.64,7.52
166,tautira,75,PF,1577324180,62,-17.73,-149.15,86.0,8.05
167,faanui,100,PF,1577324313,82,-16.48,-151.75,79.18,19.06
168,saint-paul,48,FR,1577324314,64,45.22,1.9,39.99,4.7
169,shingu,75,JP,1577324314,93,33.72,135.99,51.8,4.7
170,carballo,0,ES,1577324214,81,43.21,-8.69,55.0,6.93
171,sunam,0,IN,1577324314,43,30.13,75.81,46.92,4.99
172,katobu,100,ID,1577324314,55,-4.94,122.53,90.91,0.67
173,alberdi,75,AR,1577324314,70,-26.19,-58.14,87.8,9.17
174,shenzhen,0,CN,1577324230,73,22.54,114.05,73.0,8.95
175,saint-philippe,90,CA,1577324283,67,45.36,-73.48,26.01,11.41
176,chama,100,ZM,1577324314,90,-11.22,33.16,69.6,1.45
177,lagos,0,NG,1577324315,94,6.46,3.39,77.0,2.24
178,muli,100,CN,1577324315,62,28.08,109.56,43.93,11.59
179,narsaq,63,GL,1577324252,27,60.91,-46.05,37.4,24.16
180,bedele,0,ET,1577324315,68,8.46,36.35,58.06,1.9
181,aleksandrov gay,73,RU,1577324315,92,56.4,38.71,28.44,3.06
182,caravelas,100,BR,1577324315,88,-17.73,-39.27,74.25,5.46
183,lebu,7,ET,1577324212,93,8.96,38.73,50.16,1.97
184,nikolskoye,90,RU,1577324185,93,59.7,30.79,37.0,8.95
185,neiafu,75,TO,1577324316,74,-18.65,-173.98,84.2,3.36
186,krasnystaw,75,PL,1577324316,100,50.98,23.16,37.4,9.17
187,nyurba,100,RU,1577324316,96,63.29,118.35,-29.09,6.33
188,coquimbo,0,CL,1577324316,82,-29.95,-71.34,59.0,8.05
189,ahuimanu,90,US,1577324149,78,21.44,-157.84,78.8,14.99
190,ambilobe,84,MG,1577324316,86,-13.19,49.05,77.36,3.47
191,kanye,10,BW,1577324316,53,-24.98,25.34,71.02,1.79
192,buala,9,SB,1577324316,57,-8.15,159.59,86.32,3.62
193,atar,0,MR,1577324316,12,20.52,-13.05,64.0,7.65
194,gbadolite,100,CD,1577324316,45,4.28,21.0,70.2,1.7
195,sola,100,TZ,1577324317,95,-3.17,33.8,64.26,4.16
196,saryagash,43,KZ,1577324317,33,41.45,69.17,32.0,9.17
197,praya,40,ID,1577324151,74,-8.71,116.27,86.0,2.24
198,ribeira grande,40,PT,1577324317,93,41.76,-8.56,55.0,3.36
199,hilo,90,US,1577324164,65,19.71,-155.08,78.8,13.87
200,minyar,91,RU,1577324317,65,55.07,57.55,19.47,4.45
201,turayf,0,SA,1577324317,86,31.68,38.65,41.0,9.17
202,mangan,14,IN,1577324317,51,27.5,88.54,41.7,3.0
203,petropavlovsk-kamchatskiy,90,RU,1577324317,85,53.05,158.65,24.8,22.37
204,sistranda,75,NO,1577324318,86,63.73,8.83,39.99,2.24
205,berlevag,98,NO,1577324318,65,70.86,29.09,33.01,15.79
206,coihaique,90,CL,1577324110,71,-45.58,-72.07,51.8,4.7
207,pevek,100,RU,1577324199,98,69.7,170.27,-13.47,3.56
208,hay river,0,AU,1577324318,13,-34.51,144.84,97.74,6.93
209,chicama,20,PE,1577324318,88,-7.84,-79.15,68.0,11.41
210,canete,28,IT,1577324318,85,46.33,9.49,51.8,2.24
211,iqaluit,75,CA,1577324061,77,63.75,-68.52,0.0,1.19
212,bilma,0,NE,1577324318,33,18.69,12.92,55.18,8.75
213,cayenne,100,GF,1577324217,88,4.94,-52.33,78.8,2.24
214,baykit,100,RU,1577324319,98,61.68,96.39,-8.05,3.4
215,nguru,0,NG,1577324319,25,12.88,10.45,59.13,11.07
216,ikungi,93,TZ,1577324319,94,-5.13,34.77,61.79,2.55
217,saint-leu,100,RE,1577324319,83,-21.15,55.28,75.99,5.82
218,wanning,75,AT,1577324319,80,48.64,13.53,41.0,12.75
219,lavrentiya,98,RU,1577324319,82,65.58,-170.99,-5.46,11.39
220,upernavik,100,GL,1577324320,59,72.79,-56.15,8.53,3.87
221,menongue,78,AO,1577324320,86,-14.66,17.68,62.28,3.91
222,codrington,75,AU,1577324139,51,-28.95,153.24,84.2,12.75
223,morros,43,BR,1577324320,78,-2.87,-44.04,82.4,9.17
224,bafoulabe,77,ML,1577324320,10,13.81,-10.83,70.83,2.55
225,san pedro,0,ML,1577324320,11,13.3,-4.9,63.64,7.52
226,hamilton,90,CA,1577324112,100,43.26,-79.87,37.99,11.41
227,itoman,40,JP,1577324320,83,26.12,127.67,75.2,8.05
228,eydhafushi,0,MV,1577324320,77,5.1,73.07,82.89,14.85
229,touros,40,BR,1577324117,78,-5.2,-35.46,78.8,5.82
230,rivadavia,0,AR,1577324320,30,-31.53,-68.59,70.38,4.88
231,asyut,0,EG,1577324321,57,27.18,31.19,48.2,8.05
232,caxias,40,BR,1577324321,66,-4.87,-43.35,86.0,4.7
233,andira,90,BR,1577324321,80,-0.74,-47.84,83.14,17.76
234,mar del plata,0,CN,1577324321,18,29.86,90.73,13.05,2.53
235,college,75,US,1577324293,75,64.86,-147.8,-14.8,2.98
236,reinach,75,CH,1577324321,100,47.49,7.59,39.0,1.12
237,araguaina,100,BR,1577324049,90,-7.19,-48.21,75.74,2.51
238,haimen,100,CN,1577324322,95,31.87,121.18,52.0,3.0
239,alvand,0,IR,1577324322,64,36.19,50.06,37.4,2.24
240,grafton,40,AU,1577324322,54,-29.69,152.93,80.6,9.17
241,batticaloa,41,LK,1577324322,84,7.71,81.69,78.17,5.32
242,rio gallegos,40,US,1577324322,76,41.11,-90.4,55.99,8.05
243,vardo,1,US,1577324322,69,39.62,-77.74,37.99,4.7
244,nicolas bravo,0,HT,1577324322,78,18.23,-73.82,79.25,6.89
245,chokurdakh,100,RU,1577324322,95,70.62,147.9,-18.56,3.58
246,leningradskiy,100,RU,1577324322,94,69.38,178.42,-8.28,16.17
247,geraldton,90,CA,1577324135,92,49.72,-86.95,17.6,10.29
248,buchanan,20,LR,1577324323,94,5.88,-10.05,77.0,0.27
249,port elizabeth,100,CD,1577324305,73,-7.04,29.76,76.3,13.98
250,boddam,75,GB,1577324323,100,57.47,-1.78,42.01,2.24
251,kirkenaer,20,NO,1577324323,92,60.46,12.06,28.4,1.12
252,leh,0,IN,1577324245,32,34.16,77.58,-6.14,2.77
253,komyshuvakha,100,UA,1577324323,84,48.64,37.46,39.65,8.9
254,qaqortoq,78,GL,1577324323,27,60.72,-46.03,37.4,24.16
255,erdenet,87,MN,1577324255,74,49.03,104.04,1.27,4.16
256,ketchikan,90,US,1577324324,86,55.34,-131.65,42.8,40.26
257,cagayan de tawi-tawi,46,PH,1577324324,74,6.97,118.51,81.93,5.32
258,tiksi,93,RU,1577324324,99,71.64,128.87,-28.71,2.68
259,itinga,100,BR,1577324324,97,-16.61,-41.77,67.17,3.38
